Ux_mps,Uy_mps,r_radps,ax_mps2,ay_mps2,speed,delta_rad,TxR,latitude,longitude,altitude,roll,pitch,yaw
0.00050297,-0.00034947,0.00136718,-0.00324080,-0.02530883,0.00000000,0.00000000,0.00000000,39.96300430,116.30366360,64.83391498,0.00709770,-0.01401973,-0.00033559
0.00008627,-0.00051547,0.00499412,-0.00283635,-0.00694718,0.00000000,0.00000000,0.00000000,39.96300430,116.30366360,64.83372656,0.00711023,-0.01409223,-0.00050927
-0.00021695,-0.00072433,0.00316277,-0.00832933,0.00520101,0.00000000,0.00000000,0.00000000,39.96300430,116.30366360,64.83313932,0.00710661,-0.01414678,-0.00066531
-0.00051507,-0.00102295,0.00070408,0.00296264,-0.00898084,0.00000000,0.00000000,0.00000000,39.96300430,116.30366360,64.83252426,0.00712885,-0.01417164,-0.00074387
-0.00096417,-0.00125146,0.00120476,-0.02854914,-0.00540598,0.00000000,0.00000000,0.00000000,39.96300430,116.30366360,64.83175453,0.00718198,-0.01423545,-0.00086662
-0.00626749,0.00208277,0.00506267,-0.03058428,-0.01343235,0.00000000,0.00000000,0.00000000,39.96300431,116.30366358,64.83178451,0.00664036,-0.01498483,-0.00094647
-0.01157933,0.00585952,0.00288710,-0.02304129,0.00734158,0.00000000,0.00000000,0.00000000,39.96300432,116.30366357,64.83231157,0.00607755,-0.01572637,-0.00101898
-0.01708504,0.00956206,0.00140741,-0.02675467,0.02452905,0.00000000,0.00000000,0.00000000,39.96300433,116.30366354,64.83200025,0.00550863,-0.01650667,-0.00106514
-0.01985833,0.01151260,0.00171587,-0.02375000,0.01344442,0.00000000,0.00000000,0.00000000,39.96300433,116.30366353,64.83176692,0.00521675,-0.01689124,-0.00109845
-0.02330467,0.01407883,0.00088140,-0.05736327,0.01085509,0.00000000,0.00000000,0.00000000,39.96300434,116.30366352,64.83143630,0.00491842,-0.01718027,-0.00115555
-0.01516509,0.01177174,0.00219569,-0.02824687,0.02042675,0.00000000,0.00000000,0.00000000,39.96300434,116.30366355,64.83169921,0.00525264,-0.01592120,-0.00138929
-0.00874788,0.00998475,0.00063255,-0.02379204,0.01891898,0.00000000,0.00000000,0.00000000,39.96300433,116.30366357,64.83189109,0.00554241,-0.01484058,-0.00160738
-0.00497594,0.00879573,0.00093803,-0.00610098,0.00725784,0.00000000,0.00000000,0.00000000,39.96300433,116.30366359,64.83195059,0.00571649,-0.01422538,-0.00174817
0.00276474,0.00622244,0.00332519,0.00793249,0.00071769,0.00000000,0.00000000,0.00000000,39.96300432,116.30366362,64.83190397,0.00603195,-0.01293250,-0.00196817
0.00795309,0.00429887,0.00470206,0.00734932,-0.00084855,0.00000000,0.00000000,0.00000000,39.96300432,116.30366364,64.83175360,0.00633172,-0.01212865,-0.00214947
0.00609940,0.00105853,0.00446662,0.03134978,0.01157726,0.00000000,0.00000000,0.00000000,39.96300431,116.30366363,64.83153631,0.00676247,-0.01241945,-0.00221548
