Ux_mps,Uy_mps,r_radps,ax_mps2,ay_mps2,speed_rpm,delta_rad,Single_Motor_TxR_Nm,latitude,longitude,altitude,roll_rad,pitch_rad,yaw_rad,gps_state,UWB_x_m,UWB_y_m,EKF_x_m,EKF_y_m
0.01218547,0.02400899,0.00000000,0.01436498,-0.02193568,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,0.81199998,1.59200001,0.80814960,1.59229472
0.02935808,-0.00193190,0.00000000,0.00325887,0.00854638,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.01618210,-0.01166471,-1.37534448,0,0.80000001,1.58700001,0.80935114,1.59069107
0.00379720,0.00272545,0.00000000,0.00325887,0.00854638,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.01612585,-0.01173894,-1.37534198,0,0.80199999,1.58399999,0.80557048,1.58889681
0.00379720,0.00272545,0.00000000,0.00521220,-0.01496493,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.01612585,-0.01173894,-1.37534198,0,0.79500002,1.59200001,0.80557048,1.58889681
0.00528845,0.00462288,0.00000000,0.00521220,-0.01496493,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.01613766,-0.01173416,-1.37529659,0,0.78200001,1.59000003,0.79937576,1.58960078
0.00528845,0.00462288,0.00000000,-0.00861873,-0.00617088,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.01613766,-0.01173416,-1.37529659,0,0.77100003,1.58299994,0.79937576,1.58960078
0.00757768,0.00638595,0.00000000,-0.00861873,-0.00617088,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.01614322,-0.01171238,-1.37531256,0,0.77899998,1.59000003,0.79181233,1.58862347
0.00757768,0.00638595,0.00000000,-0.00483837,-0.00296728,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.01614322,-0.01171238,-1.37531256,0,0.78600001,1.58700001,0.79181233,1.58862347
0.01039391,0.01014954,0.00000000,-0.00483837,-0.00296728,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.01618900,-0.01170547,-1.37528110,0,0.79000002,1.58099997,0.79088487,1.58706069
0.01039391,0.01014954,0.00000000,-0.00607429,-0.00801996,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.01618900,-0.01170547,-1.37528110,0,0.80400002,1.58000004,0.79088487,1.58706069
0.01198983,0.01263221,0.00000000,0.00682138,-0.00859262,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.01620054,-0.01166471,-1.37653025,0,0.80400002,1.58899999,0.79308501,1.58586287
0.01426430,0.01699847,0.00000000,0.00682138,-0.00859262,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.01615830,-0.01165709,-1.37653791,0,0.80299997,1.58500004,0.79638471,1.58595281
0.01426430,0.01699847,0.00000000,0.00439552,-0.00005093,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.01615830,-0.01165709,-1.37653791,0,0.81199998,1.58399999,0.79638471,1.58595281
0.01722712,0.02123473,0.00000000,0.00439552,-0.00005093,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.01618755,-0.01167526,-1.37654639,0,0.81099999,1.57099998,0.80109579,1.58318443
0.01722712,0.02123473,0.00000000,-0.00931270,-0.00236870,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.01618755,-0.01167526,-1.37654639,0,0.79799998,1.57599998,0.80109579,1.58318443
0.01927070,0.02456622,0.00000000,-0.00931270,-0.00236870,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.01622850,-0.01167590,-1.37947941,0,0.80800003,1.58800006,0.80232065,1.58268909
0.01927070,0.02456622,0.00000000,-0.01134335,0.01338812,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.01622850,-0.01167590,-1.37947941,0,0.79400003,1.58500004,0.80232065,1.58268909
0.02085911,0.02778516,0.00000000,-0.01134335,0.01338812,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.01620556,-0.01165964,-1.37971402,0,0.80800003,1.59200001,0.80280700,1.58404615
0.02085911,0.02778516,0.00000000,0.01022214,0.01878476,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.01620556,-0.01165964,-1.37971402,0,0.81400001,1.59300005,0.80280700,1.58404615
0.02225334,0.03130198,0.00000000,0.01022214,0.01878476,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.01618259,-0.01165506,-1.37972747,0,0.80299997,1.59599996,0.80507811,1.58661714
0.02225334,0.03130198,0.00000000,0.00231219,-0.00503032,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.01618259,-0.01165506,-1.37972747,0,0.80500001,1.60300004,0.80507811,1.58661714
0.02309461,0.03471799,0.00000000,0.00231219,-0.00503032,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.01618724,-0.01163911,-1.37954982,0,0.80900002,1.61199999,0.80658874,1.59211351
0.02309461,0.03471799,0.00000000,0.00134245,0.00402757,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.01618724,-0.01163911,-1.37954982,0,0.81099999,1.61699998,0.80658874,1.59211351
0.02401329,0.03826075,0.00000000,0.00134245,0.00402757,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.01622838,-0.01162849,-1.37955530,0,0.81099999,1.61300004,0.80887929,1.59799478
0.02401329,0.03826075,0.00000000,0.00592231,-0.00886586,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.01622838,-0.01162849,-1.37955530,0,0.81800002,1.61300004,0.80887929,1.59799478
0.02549786,0.04136944,0.00000000,0.00592231,-0.00886586,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.01617992,-0.01163531,-1.37955505,0,0.80299997,1.60099995,0.81032687,1.59994385
0.02549786,0.04136944,0.00000000,-0.01781259,0.00503232,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.01617992,-0.01163531,-1.37955505,0,0.81699997,1.61300004,0.81032687,1.59994385
0.00614406,0.02037146,0.00000000,-0.01781259,0.00503232,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.01619059,-0.01166028,-1.37957109,0,0.81199998,1.60599995,0.81078927,1.60303566
0.00614406,0.02037146,0.00000000,0.00763184,-0.00572164,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.01619059,-0.01166028,-1.37957109,0,0.81099999,1.60000002,0.81078927,1.60303566
0.00524387,0.01490022,0.00000000,0.00763184,-0.00572164,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.01621859,-0.01165623,-1.37959929,0,0.81900001,1.59700000,0.81217372,1.60167158
0.00524387,0.01490022,0.00000000,0.01263431,-0.00624434,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.01621859,-0.01165623,-1.37959929,0,0.81699997,1.59399998,0.81217372,1.60167158
0.00511191,0.01297307,0.00000000,0.01263431,-0.00624434,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.01622623,-0.01162628,-1.37959767,0,0.81699997,1.60000002,0.81378508,1.60036351
0.00511191,0.01297307,0.00000000,0.01144165,0.00956322,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.01622623,-0.01162628,-1.37959767,0,0.81500000,1.60399997,0.81378508,1.60036351
0.00456649,0.01140391,0.00000000,0.01144165,0.00956322,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.01623709,-0.01164943,-1.37961833,0,0.79699999,1.59000003,0.81174760,1.59922201
0.00456649,0.01140391,0.00000000,-0.00017756,-0.00081668,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.01623709,-0.01164943,-1.37961833,0,0.80299997,1.59899998,0.81174760,1.59922201
0.00432126,0.01040645,0.00000000,0.00257443,0.01030587,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.01624727,-0.01168473,-1.37966091,0,0.80500001,1.60300004,0.81058194,1.59914990
0.00342418,0.00995723,0.00000000,0.00257443,0.01030587,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.01624591,-0.01167707,-1.37967528,0,0.79100001,1.60000002,0.80729636,1.59972995
0.00342418,0.00995723,0.00000000,-0.01055659,0.00331646,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.01624591,-0.01167707,-1.37967528,0,0.79799998,1.60599995,0.80729636,1.59972995
0.00250146,0.00889767,0.00000000,-0.01055659,0.00331646,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.01620622,-0.01168045,-1.37966314,0,0.79500002,1.61000001,0.80455508,1.60202065
0.00250146,0.00889767,0.00000000,0.00621370,0.00457411,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.01620622,-0.01168045,-1.37966314,0,0.79400003,1.61399996,0.80455508,1.60202065
0.00210066,0.00846196,0.00000000,0.00621370,0.00457411,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.01622813,-0.01173002,-1.37964803,0,0.79699999,1.61500001,0.80236444,1.60544849
0.00210066,0.00846196,0.00000000,-0.00695247,-0.00109322,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.01622813,-0.01173002,-1.37964803,0,0.79100001,1.61899996,0.80236444,1.60544849
0.00141957,0.00749570,0.00000000,-0.00695247,-0.00109322,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.01626930,-0.01177193,-1.37965830,0,0.77999997,1.61600006,0.79785379,1.60871968
0.00141957,0.00749570,0.00000000,-0.00079141,0.00641887,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.01626930,-0.01177193,-1.37965830,0,0.78899997,1.61500001,0.79785379,1.60871968
0.00114775,0.00647434,0.00000000,-0.00079141,0.00641887,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.01627396,-0.01170910,-1.37965612,0,0.78500003,1.60000002,0.79502956,1.60822236
0.00114775,0.00647434,0.00000000,-0.00615693,0.00799701,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.01627396,-0.01170910,-1.37965612,0,0.80199999,1.59500003,0.79502956,1.60822236
0.00177095,0.00604231,0.00000000,-0.00615693,0.00799701,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.01627188,-0.01171398,-1.37967648,0,0.81099999,1.59399998,0.79844900,1.60442186
0.00177095,0.00604231,0.00000000,-0.00861497,-0.01718897,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.01627188,-0.01171398,-1.37967648,0,0.80800003,1.59800005,0.79844900,1.60442186
0.00216854,0.00596307,0.00000000,-0.00616500,0.00181002,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.01630216,-0.01173989,-1.37969907,0,0.80199999,1.58899999,0.79996792,1.60344860
0.00259554,0.00563833,0.00000000,-0.00616500,0.00181002,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.01629897,-0.01173343,-1.37966887,0,0.81000000,1.59700000,0.80188951,1.60063267
0.00259554,0.00563833,0.00000000,-0.00951121,-0.00301647,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.01629897,-0.01173343,-1.37966887,0,0.82400000,1.60099995,0.80188951,1.60063267
0.00232791,0.00550474,0.00000000,-0.00951121,-0.00301647,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.01629601,-0.01173733,-1.37967415,0,0.81699997,1.59500003,0.80705990,1.59981130
0.00232791,0.00550474,0.00000000,-0.01784999,-0.00106097,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.01629601,-0.01173733,-1.37967415,0,0.81599998,1.58700001,0.80705990,1.59981130
0.00289450,0.00508920,0.00000000,-0.01784999,-0.00106097,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.01628062,-0.01171842,-1.37963492,0,0.82099998,1.58399999,0.81040833,1.59580156
0.00289450,0.00508920,0.00000000,-0.00518744,-0.00513386,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.01628062,-0.01171842,-1.37963492,0,0.81699997,1.58000004,0.81040833,1.59580156
0.00345448,0.00472895,0.00000000,-0.00518744,-0.00513386,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.01626468,-0.01172242,-1.37962434,0,0.81400001,1.58399999,0.81193526,1.59199581
0.00345448,0.00472895,0.00000000,0.00843510,0.00164585,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.01626468,-0.01172242,-1.37962434,0,0.80100000,1.58599997,0.81193526,1.59199581
0.00351114,0.00434525,0.00000000,0.00843510,0.00164585,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.01624360,-0.01170178,-1.37962570,0,0.80000001,1.58700001,0.80897094,1.59043510
0.00351114,0.00434525,0.00000000,0.01845303,-0.01279482,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.01624360,-0.01170178,-1.37962570,0,0.79600000,1.59399998,0.80897094,1.59043510
0.00299782,0.00421568,0.00000000,0.01845303,-0.01279482,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.01622604,-0.01176455,-1.36565515,0,0.80599999,1.59399998,0.80706844,1.59136654
0.00299782,0.00421568,0.00000000,-0.01904115,0.00826751,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.01622604,-0.01176455,-1.36565515,0,0.80299997,1.58700001,0.80706844,1.59136654
0.00271390,0.00416040,0.00000000,-0.01904115,0.00826751,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.01620335,-0.01178110,-1.36400876,0,0.82599998,1.58099997,0.80950287,1.58923271
0.00271390,0.00416040,0.00000000,-0.00788700,-0.01381545,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.01620335,-0.01178110,-1.36400876,0,0.81500000,1.57799995,0.80950287,1.58923271
0.00268286,0.00366361,0.00000000,-0.00788700,-0.01381545,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.01618424,-0.01180075,-1.36399430,0,0.81599998,1.58800006,0.81126891,1.58757171
0.00268286,0.00366361,0.00000000,0.01331297,0.00158732,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.01618424,-0.01180075,-1.36399430,0,0.80599999,1.58800006,0.81126891,1.58757171
0.00290778,0.00359763,0.00000000,0.01331297,0.00158732,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.01620132,-0.01182670,-1.36427663,0,0.80000001,1.58200002,0.80908838,1.58674545
0.00290778,0.00359763,0.00000000,-0.02214987,0.01928658,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.01620132,-0.01182670,-1.36427663,0,0.79799998,1.58200002,0.80908838,1.58674545
0.00236961,0.00297282,0.00000000,-0.02214987,0.01928658,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.01619947,-0.01180527,-1.36431627,0,0.80599999,1.58500004,0.80733730,1.58584523
0.00236961,0.00297282,0.00000000,0.01044858,-0.00272751,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.01619947,-0.01180527,-1.36431627,0,0.80800003,1.58099997,0.80733730,1.58584523
0.00258258,0.00296620,0.00000000,0.01044858,-0.00272751,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.01617888,-0.01180776,-1.36429253,0,0.81800002,1.58200002,0.80910759,1.58461098
0.00258258,0.00296620,0.00000000,-0.00729280,-0.00026890,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.01617888,-0.01180776,-1.36429253,0,0.80900002,1.57500005,0.80910759,1.58461098
0.00263972,0.00288896,0.00000000,-0.00729280,-0.00026890,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.01617310,-0.01181874,-1.36444161,0,0.81000000,1.58700001,0.80933714,1.58370468
0.00263972,0.00288896,0.00000000,-0.01817453,-0.00136344,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.01617310,-0.01181874,-1.36444161,0,0.80000001,1.58200002,0.80933714,1.58370468
0.00220239,0.00281252,0.00000000,-0.00932078,0.00954440,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.01620363,-0.01184513,-1.36449708,0,0.81500000,1.58399999,0.80802629,1.58343979
0.00169137,0.00293214,0.00000000,-0.00932078,0.00954440,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.01620722,-0.01184128,-1.36451566,0,0.81099999,1.57799995,0.80944464,1.58267908
0.00169137,0.00293214,0.00000000,-0.00277223,0.01069337,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.01620722,-0.01184128,-1.36451566,0,0.80400002,1.57500005,0.80944464,1.58267908
0.00154485,0.00304030,0.00000000,-0.00277223,0.01069337,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.01618469,-0.01182798,-1.36447699,0,0.81800002,1.58200002,0.81012839,1.58158222
0.00154485,0.00304030,0.00000000,0.00121872,-0.01444530,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.01618469,-0.01182798,-1.36447699,0,0.82800001,1.59300005,0.81012839,1.58158222
0.00111112,0.00322587,0.00000000,0.00121872,-0.01444530,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.01617565,-0.01182743,-1.36441877,0,0.82900000,1.59899998,0.81523886,1.58557704
0.00111112,0.00322587,0.00000000,0.01118158,0.00958548,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.01617565,-0.01182743,-1.36441877,0,0.82099998,1.59899998,0.81523886,1.58557704
0.00056647,0.00341105,0.00000000,0.01118158,0.00958548,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.01619584,-0.01183781,-1.36441158,0,0.82599998,1.61300004,0.81764667,1.59133082
0.00056647,0.00341105,0.00000000,0.00950628,-0.00654927,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.01619584,-0.01183781,-1.36441158,0,0.82700002,1.61000001,0.81764667,1.59133082
-0.00028061,0.00354959,0.00000000,0.00950628,-0.00654927,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.01617052,-0.01187950,-1.36437919,0,0.82200003,1.60399997,0.81956246,1.59559645
-0.00028061,0.00354959,0.00000000,-0.00113104,0.01338798,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.01617052,-0.01187950,-1.36437919,0,0.81500000,1.60099995,0.81956246,1.59559645
-0.00065379,0.00347225,0.00000000,-0.00113104,0.01338798,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.01620910,-0.01188328,-1.36442552,0,0.81800002,1.60000002,0.81886158,1.59697768
-0.00065379,0.00347225,0.00000000,0.00799563,0.00696660,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.01620910,-0.01188328,-1.36442552,0,0.83899999,1.58599997,0.81886158,1.59697768
-0.00022143,0.00374593,0.00000000,-0.01290726,0.02824733,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.01619077,-0.01184902,-1.36449011,0,0.83800000,1.58599997,0.82189013,1.59536487
-0.00000282,0.00358766,0.00000000,-0.01290726,0.02824733,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.01618196,-0.01183539,-1.36447232,0,0.83099997,1.58299994,0.82535301,1.59237421
-0.00000282,0.00358766,0.00000000,-0.00934609,-0.00536899,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.01618196,-0.01183539,-1.36447232,0,0.83499998,1.59000003,0.82535301,1.59237421
0.00038907,0.00351143,0.00000000,-0.00934609,-0.00536899,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.01618779,-0.01185585,-1.36445825,0,0.82200003,1.58800006,0.82618360,1.59143644
0.00038907,0.00351143,0.00000000,-0.00742081,0.00218438,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.01618779,-0.01185585,-1.36445825,0,0.82400000,1.59899998,0.82618360,1.59143644
0.00012184,0.00323929,0.00000000,-0.00742081,0.00218438,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.01618248,-0.01185879,-1.36442616,0,0.81300002,1.59899998,0.82406933,1.59353319
0.00012184,0.00323929,0.00000000,0.01475190,0.00516934,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.01618248,-0.01185879,-1.36442616,0,0.80100000,1.60500002,0.82406933,1.59353319
