# s_m, x_m, y_m, psi_rad, kappa_radpm, vx_mps, ax_mps2
0,-0.7357887,-0.5493827,1.9026517,0.7501976,2.4491672,-0.007498
0.0999167,-0.8284782,-0.5850703,1.9722982,0.6478185,2.4488613,0.607587
0.1998334,-0.919017,-0.6268191,2.0319927,0.5613666,2.4735274,1.0577215
0.29975,-1.007673,-0.6739368,2.0857972,0.5104836,2.5158906,1.2608772
0.3996667,-1.0933834,-0.7252684,2.1341791,0.4605383,2.5654768,1.4606615
0.4995834,-1.1766036,-0.7804728,2.1781773,0.4220215,2.6217475,1.5906178
0.5995001,-1.2576386,-0.839309,2.2189519,0.3939536,2.681682,1.6579254
0.6994168,-1.3361122,-0.9011573,2.2572316,0.3731191,2.742759,1.6837233
0.7993334,-1.4121902,-0.9658729,2.2940098,0.3662241,2.8034249,1.6119507
0.8992501,-1.4859018,-1.0333765,2.3304855,0.3666062,2.8602994,1.4904532
0.9991668,-1.557,-1.1034652,2.3678437,0.3810279,2.9118989,1.2543347
1.0990835,-1.625257,-1.1760507,2.4058986,0.3765337,2.9546257,-1.2023599
1.1990002,-1.6911226,-1.2515819,2.4426378,0.3559424,2.9136818,-1.4701296
1.2989168,-1.7536706,-1.3286864,2.4771846,0.3387562,2.8628239,-1.7248391
1.3988335,-1.8140229,-1.4084455,2.5104244,0.3376513,2.8019779,-1.7565014
1.4987502,-1.8717222,-1.4903388,2.5456832,0.3670463,2.738626,-1.3496647
1.5986669,-1.9261756,-1.5740546,2.5853506,0.4369591,2.6889337,-0.8064884
1.6985836,-1.9771393,-1.6604621,2.6335076,0.5237294,2.6587969,-0.4039845
1.7985002,-2.0232179,-1.7487717,2.6888901,0.5873603,2.6435717,-0.0932565
1.8984169,-2.0642277,-1.8400318,2.7504751,0.6335093,2.6400447,-0.0087101
1.9983336,-2.0993232,-1.9334619,2.8142604,0.6458006,2.639715,-0.0087101
2.0982503,-2.1283705,-2.0291101,2.8791672,0.6392386,2.6393853,0.0381295
2.198167,-2.1512559,-2.1263785,2.9412767,0.6041172,2.6408283,0.2781845
2.2980836,-2.1682404,-2.2247514,2.9987217,0.5330303,2.6513326,0.7442418
2.3980003,-2.1799894,-2.3241075,3.0475799,0.4445638,2.6792329,1.2998199
2.497917,-2.1873397,-2.4236597,3.0859911,0.3169222,2.7272764,2.1334238
2.5978337,-2.1915413,-2.5236526,3.1109759,0.1831847,2.8043477,3.0495383
