x_m,y_m,phi_rad,Ux_mps,Uy_mps,r_radps
0.3274338,0.5815828,0.263015,3.477325,0,0.5522892727175
0.4242189,0.6075264,0.2793513000000001,3.4029718,0,0.5744532874777399
0.5206092,0.6351178,0.2967561000000001,3.327114,0,0.5889264603348
0.6163539,0.6643685,0.3145922000000001,3.2496222,0,0.5653124019675
0.7114373,0.6952301,0.3311784,3.1665923,0,0.48609345087764
0.8058203,0.7274537,0.34437300000000004,3.0719505,0,0.30275515994234997
0.8996811,0.7605014,0.3504085000000001,2.9533469,0,0.20926205261171
0.9933856,0.794347,0.36364550000000007,2.8609047,0,0.63649922728446
1.0864599,0.8303519,0.3964907,2.8238023,0,1.22340613410994
1.1779074,0.8702963,0.44755580000000017,2.8189377,0,1.55114809501446
1.2669892,0.915107,0.5028464000000001,2.8145019,0,1.51808997512466
1.3534782,0.9645732,0.5542175,2.8067525,0,1.465266265326
1.4375246,1.0186445,0.6079888000000001,2.8000482,0,1.5434453688521999
1.5188396,1.0775524,0.6647237,2.7996985,0,1.6073158678852
1.5962017,1.1406384,0.721847,2.7993488,0,1.6010629118905602
1.6696385,1.2078318,0.7784945000000001,2.799644,0,1.5838985929999998
1.739522,1.2794327,0.8348312000000001,2.8016368,0,1.55949302245952
1.8055585,1.3551217,0.8902300000000001,2.8059514,0,1.53356776470254
1.8668673,1.4336526,0.9437795000000001,2.8126048,0,1.49089402070432
1.9240979,1.5155433,0.9959727,2.8231309,0,1.44536284388244
1.9772389,1.6005569,1.0464220000000002,2.8375922,0,1.4014879226168802
2.0258922,1.6876659,1.0944298000000001,2.8556042,0,1.34081097257414
2.0704881,1.7771201,1.1401726,2.8786421,0,1.27562246115614
2.1111442,1.8686254,1.1831729000000002,2.9068855,0,1.2098530123137499
2.147855,1.9614477,1.2230467,2.9401286,0,1.1271350504175
2.1810444,2.0557814,1.2597651,2.9798067,0,1.03800940635093
2.2109172,2.1511771,1.2926515,3.0262555,0,0.938696036012
2.2378066,2.2474433,1.3220793,3.080188,0,0.8602105711548002
2.2619886,2.3443848,1.3485559,3.1392691,0,0.79618174306891
2.2837021,2.4419182,1.3730486000000002,3.2019348,0,0.75702640050744
2.3030962,2.5398953,1.3958591,3.2656927,0,0.7213748623972299
2.320337,2.6383525,1.4171891,3.3302598,0,0.6865866749527799
2.3355327,2.7370744,1.4371464,3.3956224,0,0.6567255964006401
2.3488199,2.8360825,1.4558346,3.4613666,0,0.62615464134346
2.3603302,2.9354498,1.4733166,3.5276442,0,0.59485923339318
2.3701429,3.034766,1.4895015,3.5945991,0,0.55972437181866
2.3784227,3.1343756,1.5044115,3.6626731,0,0.5209383323399
2.3852865,3.2340961,1.5179038,3.7322727,0,0.47686539156087
2.390872,3.3337721,1.5298584000000002,3.7963529,0,0.4220481445988
2.3953598,3.4337331,1.5401306000000001,3.7189843,0,0.35272818162878994
2.3988831,3.5334601,1.5490647000000002,3.6319347,0,0.3059033320422
2.4015649,3.6333627,1.5573698,3.5379946,0,0.32380044998714
2.4033248,3.7333696,1.5678916,3.4492523,0,0.40948178097203003
2.4038624,3.8330944,1.5823875,3.3765948,0,0.6020252426332799
2.4026215,3.9332037,1.6034491000000002,3.3207781,0,0.7960081106939301
2.3990317,4.0327081,1.6293252,3.2746471,0,0.91340681207959
2.3926524,4.1325187,1.6587770000000002,3.2340434,0,0.98662158599858
2.3832431,4.2320327,1.6900199,3.1954252,0,1.02347360175368
2.3706545,4.3311764,1.7228515,3.1592872,0,1.0646229192304
2.3546953,4.4300448,1.7575511000000001,3.1266209,0,1.1145653119484
2.3352817,4.5280226,1.7938661,3.0954395,0,1.1440199594648
2.3122107,4.6254152,1.8315877,3.0664781,0,1.18013225689814
2.285444,4.7217804,1.870405,3.0372914,0,1.19190725527016
2.2549284,4.8169696,1.9102625,3.0089848,0,1.21468864875456
2.2205241,4.9110635,1.9509008,2.980473,0,1.2189612987225
2.1823454,5.0035365,1.9923345000000001,2.9509099,0,1.2285573352138301
2.1403644,5.0943055,2.0341702,2.9208384,0,1.23335964862848
2.0943444,5.1836663,2.0770332000000002,2.8897007,0,1.23541871382736
2.0453218,5.269622,2.1197862,2.8576561,0,1.25582354934673
1.9912483,5.3554838,2.1641573000000003,2.8256381,0,1.22931052666979
1.9342926,5.4376818,2.2077046,2.7891555,0,1.20195727659225
1.875041,5.5158503,2.2492861,2.7480461,0,1.14880803109294
1.8107549,5.5941155,2.2824109,2.7040879,0,0.5434867851660901
1.7461497,5.6699078,2.2814767,2.6066562,0,-0.73639575577158
1.6837056,5.7467317,2.2432058,2.5202463,0,-0.90917053591221
1.6231402,5.8259775,2.2301032000000003,2.4360078,0,0.26359626282473997
1.5615829,5.9045329,2.2669591000000002,2.3842398,0,1.36671253522644
1.4956925,5.9796833,2.3363343,2.383942,0,1.8876298302025998
1.4247801,6.0491602,2.4146411,2.3836442,0,1.86300291308992
1.3484524,6.1131547,2.4907002,2.38583,0,1.7659551013839998
1.2671528,6.1716373,2.5631037,2.3975132,0,1.68699002406912
1.1815455,6.2244519,2.6325283,2.4161238,0,1.6384926636833397
1.0934437,6.2708816,2.6986054,2.438106,0,1.5896746130825998
1.002241,6.311604,2.7626611,2.4632561,0,1.54537445741066
0.9082593,6.3466619,2.8245021,2.4909212,0,1.5054064109447598
0.8128548,6.3758318,2.8831043000000003,2.5205287,0,1.4415228783502299
0.7158182,6.3995415,2.9385491000000004,2.554345,0,1.363452143672
0.617324,6.4180955,2.9899794,2.5935231,0,1.27718926857354
0.5185768,6.4317307,3.0362612,2.6385666,0,1.15286943225132
0.4190344,6.4410733,3.0771994,2.6928997,0,1.0185895808149699
0.3191372,6.4466492,3.1118102,2.7570024,0,0.8666642558404801
0.2193656,6.4490879,3.1397059,2.8321358,0,0.68949224013098
0.1192843,6.4490961,3.1605492,2.9202894,0,0.50311271435292
0.019419,6.4473883,3.1739981000000004,3.0218693,0,0.29459841181384
-0.080524,6.4447042,3.1800553000000003,3.1347638,0,0.07264000067911999
-0.1804673,6.4417878,3.1786412000000004,3.0383114,0,-0.15595227052604
-0.280393,6.4393824,3.1698814,2.9225222,0,-0.36177405485026
-0.3803419,6.4382141,3.1538846,2.8196091,0,-0.55085349574332
-0.4803025,6.4389941,3.1309692,2.7277735,0,-0.7186472041066001
-0.5802263,6.4424059,3.1012893999999998,2.6454626,0,-0.86784083137488
-0.6798399,6.4490816,3.0654275,2.5717903,0,-1.00517703774216
-0.7793486,6.4596559,3.0235207,2.5044916,0,-1.11740246956104
-0.8780701,6.4746257,2.9761809,2.4427856,0,-1.2199271286400002
-0.976027,6.4945142,2.9240414,2.3843065,0,-1.2979494595873502
-1.0728277,6.5197251,2.8671725,2.3298449,0,-1.38300921275593
-1.1676333,6.5505275,2.8051665000000003,2.2815125,0,-1.4864471454287498
-1.2607723,6.5876341,2.7372809,2.2384403,0,-1.5779598374491601
-1.3507981,6.6310966,2.6639161,2.1999663,0,-1.65986379351513
-1.4369882,6.6810304,2.5867896000000004,2.1645487,0,-1.72434031823847
-1.5196318,6.738113,2.505521,2.1286476,0,-1.7477314335989997
-1.5969179,6.8014976,2.4218299,2.0916257,0,-1.7697728213236699
-1.6680798,6.8706743,2.3368423,2.0531467,0,-1.78898207019389
-1.7339874,6.9469146,2.2486684,2.0132441,0,-1.77627379393863
-1.7926254,7.0283683,2.1590448,1.9677247,0,-1.7641968343324301
-1.8434684,7.1143612,2.0686531,1.9161654,0,-1.73625030724818
-1.8862543,7.204376,1.9790672,1.8570061,0,-1.64314454959533
-1.9210567,7.2978228,1.8957842,1.7835195,0,-1.411566508275
-1.9482862,7.3932313,1.8202204000000002,1.6708832,0,-1.37999730574048
-1.9673705,7.4902542,1.7167369000000001,1.6388766,0,-2.42441703195624
-1.9729003,7.5898324,1.5521338,1.6386719,0,-2.74612618974717
-1.9618765,7.6891559,1.3890119,1.6384672,0,-2.5668028900668802
-1.9355001,7.785462,1.2384959000000002,1.6561217,0,-2.3975079303209696
-1.8954652,7.876995,1.0988678,1.6875627,0,-2.25807060925074
-1.8434854,7.9624267,0.9697770000000001,1.7276961,0,-2.12504460679875
-1.7813295,8.040861,0.8517706,1.7747641,0,-1.98134575385795
-1.7108155,8.1118544,0.7461769,1.8290928,0,-1.80906405093072
-1.6337628,8.1755127,0.6560604000000001,1.8928262,0,-1.54943553855722
-1.5518462,8.2326409,0.5833468,1.9736051,0,-1.2579597071781798
-1.4665728,8.2843819,0.5290532000000001,2.0729984,0,-0.92081925568512
-1.3793424,8.3321378,0.4931951000000001,2.1941102,0,-0.71464100030976
-1.2900018,8.3773069,0.4618434,2.3235559,0,-0.72790546861598
-1.1996265,8.4193761,0.42668970000000006,2.4410877,0,-0.94178798994759
-1.1080388,8.4578656,0.3872452000000002,2.5292923,0,-1.0114250396685798
-1.0137558,8.4931182,0.34671320000000017,2.6045758,0,-1.04612604686694
-0.9188648,8.5243114,0.306994,2.6715038,0,-1.05638847322792
-0.8228157,8.5517404,0.26805610000000013,2.7332194,0,-1.0371698459230798
-0.7250891,8.5756601,0.23067000000000015,2.793104,0,-1.0201577739264
-0.6275583,8.5958136,0.1957268000000001,2.8512053,0,-0.9637282051986901
-0.5287943,8.6127613,0.16295170000000003,2.9116217,0,-0.91243789394043
-0.4298086,8.6265728,0.13324900000000017,2.9738584,0,-0.83824503583808
-0.3303313,8.6376046,0.10664090000000015,3.0401946,0,-0.7511387516857799
-0.230829,8.6461568,0.08387490000000009,3.1118236,0,-0.650892362853
-0.1308738,8.6526502,0.06498530000000002,3.1899205,0,-0.53336651030585
-0.0312217,8.6574531,0.050465800000000005,3.2467168,0,-0.4002373901616
0.0688866,8.6610472,0.040524400000000016,3.1466898,0,-0.23542903745639998
0.1687518,8.6638843,0.03544420000000015,3.024776,0,-0.0890512203056
0.2684583,8.6664232,0.034577199999999975,2.8812543,0,0.03620094340149
0.3684118,8.6691451,0.03982920000000001,2.7481343,0,0.27652579248232995
0.4681236,8.672865,0.054806300000000086,2.632114,0,0.5263501536536
0.5679494,8.6785932,0.07997750000000003,2.5332709,0,0.7711165155680401
0.6676265,8.6873608,0.11548069999999999,2.4488022,0,0.9808451922297599
0.7664858,8.7000621,0.16006540000000014,2.3782412,0,1.17855478782076
0.8652032,8.7177244,0.2138169000000001,2.3188341,0,1.34143254137904
0.9624115,8.7410016,0.27604530000000005,2.2711304,0,1.5018508397816
1.0575318,8.7705372,0.3458622,2.2361248,0,1.66216567806016
1.1509277,8.8073155,0.42396220000000007,2.2125593,0,1.7995359878385402
1.2406067,8.8513794,0.5089331000000001,2.2007392,0,1.9289179787468802
1.3255931,8.9027935,0.598496,2.2004643,0,2.04502284170871
1.4065092,8.9624477,0.6897864,2.2001895,0,1.9549330563213
1.4815649,9.0288731,0.7766780000000001,2.2089256,0,1.8488517304398402
1.5505291,9.1010553,0.8570649,2.2273932,0,1.72416248637108
1.613502,9.1780627,0.9308941000000001,2.2565178,0,1.5936803636157
1.6709741,9.2592706,0.9950300000000001,2.2959185,0,1.3104769889817498
1.7237642,9.3441047,1.0510248,2.3596545,0,1.2509377980120002
1.7717815,9.4316722,1.1067511,2.4240479,0,1.4068662537493102
1.8147084,9.5218005,1.1637833,2.4682641,0,1.36639965880593
1.8525211,9.6141122,1.2185658000000001,2.5131898,0,1.36581008650064
1.8852275,9.7082719,1.2729944,2.5549735,0,1.40680494522105
1.9127237,9.8040975,1.3283465,2.5898386,0,1.45377041732118
1.9348523,9.9014582,1.3848058,2.6177243,0,1.4901929593507197
1.9514508,10.0001785,1.4421281000000001,2.640171,0,1.5168553324932
1.9623692,10.0999813,1.500016,2.6585225,0,1.53811185322525
1.9674648,10.1994341,1.557612,2.6735928,0,1.5484524434491203
1.9668126,10.2992146,1.6154351,2.6866851,0,1.55460680881638
1.9603619,10.3991729,1.6734692,2.6983478,0,1.5614065098438399
1.948142,10.4985155,1.7313059000000002,2.7086119,0,1.5657537379735003
1.9302861,10.5965988,1.7887705,2.7178128,0,1.5611567880124801
1.9067448,10.6938492,1.8461932,2.7269101,0,1.55854201622814
1.8776781,10.7896053,1.9031681,2.7357167,0,1.5540184000016
1.8433312,10.8832907,1.9595016,2.7444437,0,1.5388422414700302
1.803691,10.97513,2.0153378,2.7541601,0,1.52576668799062
1.7590539,11.0645779,2.0702627000000002,2.7646013,0,1.5084958526208398
1.7096429,11.151407,2.1242477,2.7761462,0,1.48289542722182
1.6556169,11.2355483,2.1771703000000002,2.7895631,0,1.45954655753639
1.597305,11.3167002,2.2287425,2.8045249,0,1.4293202257827102
1.5348967,11.3948278,2.2790067,2.8216332,0,1.3948712686234799
1.4687684,11.4697015,2.3276674,2.8411941,0,1.36235938981584
1.3990548,11.5414056,2.3746737,2.8628893,0,1.3201984975806
1.3260916,11.6098342,2.4199231,2.8875719,0,1.2770722751106902
1.2503996,11.6747802,2.4630873,2.9151927,0,1.23397978900329
1.1716918,11.7367439,2.5042446,2.9456142,0,1.1747583673486202
1.0907072,11.7954181,2.5429912000000003,2.9803112,0,1.11985014521328
1.0078957,11.8508046,2.5791983,3.0186711,0,1.06319135664261
0.922777,11.9034752,2.6139809,3.0607246,0,1.04684096451794
0.8360338,11.9531317,2.6476055,3.1023697,0,1.02847371469731
0.7478512,11.9998083,2.6801453000000004,3.1438784,0,1.00585685672576
0.6581238,12.0436982,2.7113228,3.1857273,0,0.96771181613904
0.5670116,12.0848839,2.7409459,3.2294821,0,0.9333258170195698
0.4748595,12.1233759,2.7690803,3.2747384,0,0.90287681436864
0.3816999,12.1593098,2.7960389,3.3210966,0,0.87806705484162
0.2875389,12.1927948,2.8220877,3.3680082,0,0.8642234945019599
0.1925943,12.2238387,2.8473934,3.4144229,0,0.8563758462987701
0.096895,12.252497,2.8721967,3.459819,0,0.8527758411381
0.0004453,12.2788087,2.8967032,3.5038626,0,0.85344212043468
-0.0964916,12.3027304,2.9209949,3.5462246,0,0.86124958200948
-0.1940141,12.3243014,2.9452274000000003,3.5862976,0,0.87077170602752
-0.2921223,12.3435184,2.9695196,3.6240251,0,0.88194238593349
-0.3906506,12.3603392,2.9939142,3.6593525,0,0.895292791427
-0.4894311,12.3747276,3.0184224000000004,3.6921684,0,0.9099496708536
-0.588652,12.3866945,3.0431442,3.7224464,0,0.92456523031248
-0.6882783,12.3962065,3.068108,3.7502894,0,0.939316234571
-0.78781,12.4032007,3.09321,3.7757754,0,0.95406821415756
-0.8876145,12.4076876,3.1185638,3.79899,0,0.968168042712
-0.9876485,12.4096332,3.1441737,3.8200777,0,0.98193263641204
-1.0874996,12.4090096,3.1699427,3.8391448,0,0.9948018879773599
-1.1873351,12.4058015,3.1959282,3.8563479,0,1.00684693178478
-1.2871994,12.3999803,3.2221482999999997,3.8718301,0,1.01858209074051
-1.3867281,12.3915482,3.2485119,3.8856777,0,1.02914932715667
-1.4860033,12.3804857,3.2750564,3.8980586,0,1.03882638000624
-1.5850807,12.3667642,3.3018004000000003,3.9091075,0,1.04838393133575
-1.6836202,12.3504147,3.3286565,3.9188773,0,1.05658104926036
-1.7817037,12.3314135,3.3556654000000004,3.9275426,0,1.0640286324619601
-1.8793417,12.3097397,3.3828318,3.9352114,0,1.0715560966143
-1.976221,12.2854508,3.4100755,3.9419058,0,1.0774115480205
